27.8,6.4,23.8
23,6.6,20.6
19.4,9.2,16.6
21.8,13.4,10.6
18.4,13.2,8.6
19.2,12.4,9
20,10.4,9.2
21.6,6.2,8.8
18.6,4,8.6
31.8,3.2,8.4
36.2,4,7
39.4,6,6
36.8,6.2,5.4
33.4,7,6.4
46.4,6.6,6
40,6,7.8
40.8,8.2,9.8
38,7.2,11.2
46.8,7.2,13.6
62,4.4,18
80.4,5.8,22.6
79.2,6.4,24.4
73.8,9,25
72.2,9.8,24.8
63.8,6.4,25
51.6,8,18.8
36.2,6.6,14
21.8,5,12.8
18,6,11.2
8.8,8.2,12.4
3.6,8.6,11.6
6,7.8,9.4
3.6,4.8,10.4
2.6,3.6,12.2
1.8,3.4,13
1.2,5,12.6
1,7,12.8
3.2,6,13.2
0.8,8.6,14.4
0.4,11.6,17.2
0.6,7.2,19.8
12.8,3.8,23
60.2,1.8,26.4
60.6,1.4,26.6
74,1.4,28
68.6,1.2,28.2
53.2,1.6,26.6
32.2,0.6,27
33.8,1.8,26.8
40.2,1.6,21.8
21,2.2,17.8
8,1.8,16.4
6.2,1.4,15.4
4.6,4.6,16.8
1.6,6.4,13.4
8,2.6,13.4
6.6,2,13.8
7,2,15
6.8,1.8,16.6
7,4.2,18.4
6.8,4,18
9.2,2.4,19
3.6,3.4,20.6
3.6,3.6,24.8
18.4,5,27.4
44.4,2.6,26.2
59.2,2.2,25.4
58.6,1.6,30.4
53.8,2.6,31.8
51,2.4,32.4
51.6,1.8,23.2
39.6,1.6,19.8
33.6,1.8,15.6
32.4,1.6,11.6
24.6,0.8,10.2
17.8,4,10.2
6,7.6,11.8
2.2,11.8,11.8
6.6,2.8,10.2
3.4,2.6,11.8
4.2,3.8,12.2
5.6,2.6,11.6
4,4,13.4
4.2,2.2,14.4
9.4,5.4,13.8
9.2,11.4,13.8
8.8,8.6,14.4
24.2,1.6,16
41.6,1.4,12.8
37.8,2.2,13.4
46.6,2.2,13.6
53.4,2.4,15.2
61,2.2,15
57.4,1.2,13.4
40.4,2.2,9.8
28.6,2.2,6
37.6,2.2,3.8
23.8,1.2,3.6
10.8,4.6,3.8
7.2,6.4,4
3.2,9.2,4
7,4.2,3.6
13.6,4,4.2
