69.5,16,59.5
57.5,16.5,51.5
48.5,23,41.5
54.5,33.5,26.5
46,33,21.5
48,31,22.5
50,26,23
54,15.5,22
46.5,10,21.5
79.5,8,21
90.5,10,17.5
98.5,15,15
92,15.5,13.5
83.5,17.5,16
116,16.5,15
100,15,19.5
102,20.5,24.5
95,18,28
117,18,34
155,11,45
201,14.5,56.5
198,16,61
184.5,22.5,62.5
180.5,24.5,62
159.5,16,62.5
129,20,47
90.5,16.5,35
54.5,12.5,32
45,15,28
22,20.5,31
9,21.5,29
15,19.5,23.5
9,12,26
6.5,9,30.5
4.5,8.5,32.5
3,12.5,31.5
2.5,17.5,32
8,15,33
2,21.5,36
1,29,43
1.5,18,49.5
32,9.5,57.5
150.5,4.5,66
151.5,3.5,66.5
185,3.5,70
171.5,3,70.5
133,4,66.5
80.5,1.5,67.5
84.5,4.5,67
100.5,4,54.5
52.5,5.5,44.5
20,4.5,41
15.5,3.5,38.5
11.5,11.5,42
4,16,33.5
20,6.5,33.5
16.5,5,34.5
17.5,5,37.5
17,4.5,41.5
17.5,10.5,46
17,10,45
23,6,47.5
9,8.5,51.5
9,9,62
46,12.5,68.5
111,6.5,65.5
148,5.5,63.5
146.5,4,76
134.5,6.5,79.5
127.5,6,81
129,4.5,58
99,4,49.5
84,4.5,39
81,4,29
61.5,2,25.5
44.5,10,25.5
15,19,29.5
5.5,29.5,29.5
16.5,7,25.5
8.5,6.5,29.5
10.5,9.5,30.5
14,6.5,29
10,10,33.5
10.5,5.5,36
23.5,13.5,34.5
23,28.5,34.5
22,21.5,36
60.5,4,40
104,3.5,32
94.5,5.5,33.5
116.5,5.5,34
133.5,6,38
152.5,5.5,37.5
143.5,3,33.5
101,5.5,24.5
71.5,5.5,15
94,5.5,9.5
59.5,3,9
27,11.5,9.5
18,16,10
8,23,10
17.5,10.5,9
34,10,10.5
23.5,11,13
45,7,12
33.5,6,10
45,7.5,10.5
46,15.5,10.5
60.5,8.5,12.5
71,4.5,26
112,4,33
125.5,3,38.5
138.5,1.5,36.5
141,2.5,34
135.5,3,41
132,3.5,50
132,3,62.5
109.5,3,70
77,3,28
68,2.5,25
61,2.5,30
54.5,3,28
51.5,4.5,24.5
45,3,25.5
36.5,2.5,27
29,3,28
15,2,28.5
12,1.5,17.5
23.5,1.5,13.5
35,2.5,12
40.5,4,12.5
38,6.5,12.5
44.5,15.5,12.5
94,14,14.5
124.5,16,18
126,12,17
120.5,12.5,19.5
115.5,13,31
115.5,27.5,74.5
102,23.5,58
95.5,17,64
74,15,44.5
41,11.5,27.5
20.5,12.5,17.5
12,7.5,15.5
8,12.5,13.5
2.5,5,13
1.5,6,16
1.5,11.5,18
2,4.5,19.5
1.5,6,23
1.5,11,40.5
1,15.5,46.5
0.5,19.5,47
2,14.5,47
7.5,17.5,52.5
14.5,16,62.5
18,10.5,69
65,12,52.5
83,17,45.5
95.5,14.5,43.5
90,11.5,41
82,12.5,44
66,9.5,38
29,14.5,27.5
5,9.5,14
2.5,6.5,16.5
2,3,14
1.5,9,9.5
3,12.5,8.5
1,7.5,8.5
2,6.5,8
2,11,9
1.5,9.5,8.5
4,16,9
8,26,10
19.5,14,9.5
31,11,9
77.5,8.5,9
102,3,11
112,4,19
120.5,8,21
124.5,32,21.5
109.5,17.5,27.5
86.5,11.5,27.5
76.5,22,23
72,7.5,21.5
63,6,25
56.5,9,24
28.5,5.5,28.5
31.5,20,31.5
12,26.5,36
14,9.5,41.5
11.5,1.5,50
13.5,1,44
14,2.5,54
10.5,3,70
12,1.5,68
24.5,5,70.5
53,4.5,70
48.5,2,59.5
65,2,44.5
72.5,2.5,38.5
66.5,5.5,33
74.5,9,22
73.5,12,18
68.5,17,18
65.5,14.5,20
80,16,28
71.5,13,32
66,13.5,30.5
47,15,35
47.5,14,37
62.5,13,41.5
67,11,40
55.5,10,37
41.5,9,38
57,7,46.5
62,5.5,52.5
63,2.5,57
19,5,64
36.5,7.5,61.5
64.5,4.5,52
81,10,55
131.5,14,58
149.5,20.5,64
135.5,27.5,59.5
166.5,17.5,62.5
160.5,13,52
135,12,48.5
125.5,12.5,41.5
108,11,32.5
99.5,9.5,25
83.5,13,21.5
54.5,7,17.5
37.5,6,14
19.5,9.5,13
10.5,9.5,11
23.5,5.5,10
32.5,5.5,11
40.5,5.5,11.5
37.5,7,11
44,6.5,11
42,10,13
47,14,12.5
32.5,15,14
82.5,16,26
133,8,36
146.5,6,35
153.5,11,34
149,10.5,23.5
140,10,19.5
123,12.5,16
108.5,15.5,13
95.5,18,9
86,19.5,5.5
69,12,5.5
67,15,5.5
64.5,11,6
19.5,11.5,9
35,14,8
51.5,19,8
44.5,19.5,8
29.5,15.5,7
29.5,11.5,6.5
53,8.5,5.5
69.5,7.5,5.5
69.5,5,7.5
68.5,6.5,12
56,9,18
101,7,38.5
126,6.5,54
130.5,6,45.5
128,4.5,31.5
120,6.5,29.5
105,9,26
91.5,11.5,29
80,16.5,35
79,26,39
72.5,18,29
54,9,22.5
37,4.5,21.5
28.5,5.5,24
39,6,26.5
40,8,31.5
27,8,30
24,9,26
32.5,8,25.5
31,9.5,20.5
36.5,10,17
40.5,14,18.5
51,15.5,22
53,17,26
94,11,29.5
116.5,3.5,42.5
100.5,2,53
76,2,52.5
84.5,1.5,50
66.5,3,61
56.5,3.5,67
68.5,6,87
77,1.5,56.5
63,2.5,80
51.5,3,54.5
38,1.5,38.5
18.5,2.5,35
11,3.5,37
11.5,2,33.5
18,2,31.5
14,1.5,32.5
10.5,2,34
19.5,3,30.5
29.5,3,33.5
41.5,4.5,27.5
45,8.5,25.5
49,18.5,25.5
58.5,7,28
90,7,26
82,2.5,30.5
83,3.5,34.5
75,3.5,37.5
90.5,7.5,35.5
89.5,8.5,28
63,17,25.5
48,13,20
42,7,14.5
45,2.5,13.5
37.5,1,14.5
24.5,5,15
41,1.5,13.5
33.5,0.5,14.5
28,1,13
38.5,1,13.5
14.5,0.5,13
21.5,2,12
19.5,1,12.5
27.5,1.5,13.5
31,2,18
22.5,1,22
81,1,32
111,1.5,64
119.5,1.5,47.5
95,3,53.5
94,3,55
103,4,56.5
97,2.5,56.5
89,3,43
82.5,7.5,30.5
58,4.5,16.5
53,18,9.5
32,8,11.5
18.5,19,10.5
6,19,11.5
8,7.5,10.5
13,7.5,9.5
17.5,7,9.5
10,6.5,9.5
13,12.5,12.5
11.5,12,21.5
26.5,19,19.5
29,22,25.5
15,25.5,31
35,23.5,36
80.5,3.5,40
104.5,2,45
96.5,4.5,55
127.5,3,57.5
119.5,5,71.5
93.5,5,73
122,9,56
118,6.5,43
101.5,8.5,31.5
36,10,16.5
22.5,30.5,16.5
7.5,23.5,20
10.5,14.5,15
23,9,17.5
18.5,7,20.5
13.5,7,23.5
19.5,8,26.5
19,9,29
